iter	RMSE
0	3.412587149
1	3.3909437
2	3.369950134
3	3.351031262
4	3.332012891
5	3.314519622
6	3.297289232
7	3.281223512
8	3.266693403
9	3.252611118
10	3.23874275
11	3.225557854
12	3.213036797
13	3.201426926
14	3.190007369
15	3.179624002
16	3.169379988
17	3.159616662
18	3.149830545
19	3.141187701
20	3.132809234
21	3.124847526
22	3.11766709
23	3.110545573
24	3.103830243
25	3.097467923
26	3.091825416
27	3.085930575
28	3.080695528
29	3.075379196
30	3.070719284
31	3.066176683
32	3.061719678
33	3.057877878
34	3.053897429
35	3.050082926
36	3.046591519
37	3.042886748
38	3.039594947
39	3.036462566
